Country,Region,EPI,Population_2022,GDP_PC,GHS_Index,Life_Expectancy,Air,Water,Ecosystem,Climate,Env_Health,BHI,Biocapacity_PC,FC_PC
Ghana,Sub-Saharan Africa,27.7,33475870,2317.916728,34.3,63.945,15.3,20.9,34.7,23.8,20.5,38.1,1.35,0.001921384
Greece,Eastern Europe,56.2,10384971,20822.45482,51.5,80.614,62,98.2,53.9,50.8,71.5,33.5,1.39,0.000961646
Grenada,Latin America & Caribbean,47.9,113015,9928.621733,26.7,75.335,43.5,47.1,33.1,65.7,45,43.8,1.98,0.007609609
Guatemala,Latin America & Caribbean,28,17843908,4818.805474,29.1,68.674,29.1,28.3,29,26.7,28.1,42.2,0.96,0.005311056
Guinea,Sub-Saharan Africa,31.6,13983481,1133.517497,26.8,58.985,21,11.3,38.7,30,19.5,48.4,1.99,0.001144207
Guinea-Bissau,Sub-Saharan Africa,32.4,2105566,778.1838865,21.4,59.861,19.4,6.8,51.2,40.5,16.6,48.3,2.77,0.002187329
Guyana,Latin America & Caribbean,38.5,808726,9161.545345,30.8,65.989,32.1,35.3,40.2,40,32.3,69,67.05,0.016074666
Haiti,Latin America & Caribbean,26.1,11584996,1807.889499,30.4,63.728,28.2,14.1,26.9,27.9,21.1,37.3,0.29,0.001640052
Honduras,Latin America & Caribbean,36.5,10432860,2730.667171,26.2,70.728,31.3,31.8,40.9,35,30,44.3,1.53,0.004984252
Hungary,Eastern Europe,55.1,9967308,18287.83836,54.4,74.958,38.2,62.2,65,48.1,47.6,68.5,2.51,0.01577156
Iceland,Global West,62.8,372899,68273.00131,48.5,82.815,96,100,53.4,56.4,94.7,74,3.21,0.001769916
India,Southern Asia,18.9,1417173173,2239.244752,42.8,67.744,7.8,19.5,19.3,21.7,12.5,30.5,0.43,0.004167573
Indonesia,Asia-Pacific,28.2,275501339,4305.216794,50.4,68.25,21.5,28.5,34.1,23.2,25.3,51.5,1.22,0.00586204
Iran,Greater Middle East,34.5,88550570,2614.862572,36.5,74.556,41.6,53.7,40.6,24,41.9,44.8,0.07,0.021705112
Iraq,Greater Middle East,27.8,44496122,4672.077574,24,71.336,31.8,49.7,41.6,8.8,35,50.6,0.19,0.019102788
Ireland,Global West,70.8,5023109,99253.18696,55.3,82.716,89.1,97.4,50.9,48.2,88.3,40.2,3.34,0.001006681
Israel,Greater Middle East,48.2,9038309,53283.3372,47.2,74.365,68,92.9,42.5,39.8,76,39.4,0.22,0.000737232
Italy,Global West,57.7,59037474,35568.59832,51.9,84.057,69.4,98.3,57.2,48.2,76.9,48.5,0.88,0.00070746
Jamaica,Latin America & Caribbean,45.6,2827377,4823.633706,31.8,70.629,39.8,49.4,39.8,54.1,41.8,39,0.39,0.020372239
Japan,Asia-Pacific,57.2,123951692,39833.43673,60.5,84.82,78.9,95.1,59.6,41.2,82.5,44.2,0.59,0.00108268
Jordan,Greater Middle East,43.6,11285869,4008.877116,42.8,74.215,50.7,62.7,40.3,42.8,52.2,54.3,0.16,0.014177021
Kazakhstan,Former Soviet States,40.9,19397998,9836.802449,46.1,69.489,28.6,55.2,48.1,34.9,37.5,48.9,3.55,0.009604084
Kenya,Sub-Saharan Africa,30.8,54027487,2042.424803,38.8,62.055,30,13.7,34.6,29,26.2,37.2,0.47,0.001721346
Kuwait,Greater Middle East,42.4,4268873,24821.59242,36.8,80.264,47,67.5,47.1,32.3,51.5,53.2,0,0.117126933
Kyrgyzstan,Former Soviet States,35.7,6630623,1288.479756,42.4,62.489,23.5,45.6,40.4,34,29.1,47.1,1.18,0.004976908
Laos,Asia-Pacific,30.7,7529475,2500.459664,34.8,68.999,22.6,26.6,46.9,16.2,24.2,47,1.76,0.00046484
Latvia,Eastern Europe,61.1,1850651,21004.79573,61.9,75.927,51.1,59.1,65.4,58.6,56.9,47.2,0.48,0.020360403
Lebanon,Greater Middle East,32.2,5489739,3292.802233,33.4,74.416,41.2,59.8,20.4,37.9,46.3,32.5,0.26,0.026048597
Lesotho,Sub-Saharan Africa,32.3,2305825,1092.220308,30.9,53.036,11.1,7.3,23.5,53.3,10.9,36.1,0.77,0.002168421
Liberia,Sub-Saharan Africa,24.9,5302681,657.5431126,35.7,61.1,28.3,9.9,20.9,30.5,22.9,43.9,2.24,0.001244653
Lithuania,Eastern Europe,55.9,2750055,23819.10533,59.5,74.293,58.4,58.4,61,47.1,61.8,41.2,5.14,0.000642411
Luxembourg,Global West,72.3,647599,133895.8265,48.4,82.591,81,98.7,70,67.4,86.7,54.5,1.21,0.002888619
Madagascar,Sub-Saharan Africa,28,29611714,494.3111498,30.4,65.23,33.6,6,29.5,28.4,24.4,45.7,2.28,0.000506556
Malawi,Sub-Saharan Africa,40.6,20405317,618.7954872,28.5,62.898,35.7,12.1,54.1,33.1,26.7,42.9,0.69,0.002343048
Malaysia,Asia-Pacific,41.6,33938221,10981.75885,56.4,76.26,43.7,57.6,36,27.2,48,49.9,2.29,0.022393631
Maldives,Southern Asia,37.4,523787,9335.220102,32,80.839,52,47.8,35.7,33.5,48.5,56.9,1.45,0.00070003
Mali,Sub-Saharan Africa,28.5,20860000,917.7249043,29,59.417,26.7,8.3,38.4,21.9,20.4,53.6,1.58,0.00135954
Malta,Global West,75.2,533286,32233.60536,40.2,83.704,73.2,99.8,68.2,82.3,76.5,50.7,0.58,0.002625233
Mauritania,Sub-Saharan Africa,28.1,4736139,1737.191569,26.2,64.691,21.1,13.6,30.2,27.8,24,62.5,3.91,0.003378279
Mauritius,Sub-Saharan Africa,44.8,1299469,8585.551306,39.7,73.975,50.7,65.5,37.2,46.4,57.6,39.3,0.7,0.020008173
Mexico,Latin America & Caribbean,45.5,127504125,10141.14537,57,74.832,34.2,52.9,53.7,38.9,40.9,44.2,1.14,0.015897525
Moldova,Former Soviet States,42.7,3272996,4179.418897,41,68.621,40.5,50,42.9,42.9,42,26.6,1.25,0.006636122
Mongolia,Asia-Pacific,29.6,3398366,4442.730073,41,72.667,14.9,43.2,45.9,14.6,23.8,52.5,13.76,0.007650736
Montenegro,Eastern Europe,46.9,627082,9263.813922,44.1,76.845,30.7,65.6,44.7,52.3,41.3,42.1,3.01,0.011960158
Morocco,Greater Middle East,28.4,37457971,3543.311555,33.6,66.265,22.7,40.9,27.2,29.5,28.6,46.5,0.73,0.007635224
Mozambique,Sub-Saharan Africa,31.7,32969518,488.2033428,30.4,59.625,37.9,16.4,44.5,19.3,28.3,53.7,1.73,0.000697614
Myanmar,Asia-Pacific,19.4,54179306,1200.971622,38.3,67.256,16.9,30.9,20.2,17.3,21.6,30.2,1.83,0.004623537
Namibia,Sub-Saharan Africa,50.9,2567012,4766.729094,30.3,58.059,22.2,19.7,51.3,64.6,24.2,57.4,6.19,0.009738949
Nepal,Southern Asia,28.3,30547580,1187.944524,34,64.462,9.5,27.1,37.5,24.1,17.1,37.3,0.56,0.001047546
Netherlands,Global West,62.6,17564014,57959.81812,64.7,82.451,76.8,100,60,54.5,83.3,30.2,0.81,0.001846579
New Zealand,Global West,62.4,5185288,48211.69282,62.5,83.006,93.2,80.4,57.9,40.4,84.9,66.7,9.16,0.00107805
Nicaragua,Latin America & Caribbean,37.7,6948392,2016.728776,36.3,74.615,38.2,42.9,40.9,34.5,37.1,45.4,2.2,0.004317546
Niger,Sub-Saharan Africa,37.7,26207977,570.4732523,28.7,62.08,27.1,1.5,64.7,17.9,18.8,56.4,1.28,0.000496032
Nigeria,Sub-Saharan Africa,28.3,218541212,2016.905496,38,53.633,13.8,5,33.3,29.6,15.2,33,0.63,0.004445952
Norway,Global West,64.2,5434319,88775.98459,60.2,83.393,92.4,100,57.6,43.9,92.2,70.4,7.15,0.001396679
Oman,Greater Middle East,30.7,4576298,18763.77511,39.1,73.935,31.8,58.3,33.5,23.2,39,46.5,1.46,0.038459034
Pakistan,Southern Asia,24.6,235824862,1468.645704,30.4,66.431,5.7,17.5,37.8,16.9,11.4,39.7,0.35,0.004192305
Panama,Latin America & Caribbean,50.5,4408581,14427.55975,53.5,76.826,51.9,43.6,57.5,43.5,49,43.3,2.71,0.032663571
Papua New Guinea,Asia-Pacific,24.8,10142619,2622.032558,25,65.958,31.7,15.6,21.9,25.4,29.9,40.6,3.48,0.004140942
Paraguay,Latin America & Caribbean,40.9,6780744,5749.636174,40.3,70.475,43.3,47.6,48.9,30.1,44.9,51.5,9.83,0.005604105
Peru,Latin America & Caribbean,44.5,34049588,6556.599084,54.9,73.385,41.5,43.1,45.2,32.2,43.1,59.9,3.62,0.007048543
Philippines,Asia-Pacific,28.9,115559009,3410.261327,45.7,72.187,25.9,39,38.6,16.9,31.1,35.8,0.54,0.003941709
Poland,Eastern Europe,50.6,39857145,16911.60434,55.7,76.996,40.4,71.8,60,38.8,53,54.2,1.97,0.014506809
Portugal,Global West,50.4,10270865,24329.6416,54.7,82.24,78.1,83.5,49.6,37.6,76.6,46.5,1.28,0.000761702
Qatar,Greater Middle East,33,2695122,66628.07233,48.7,66.456,42.1,66.6,34.5,21.5,51.7,61.1,0.97,0.103891401
Republic of Congo,Sub-Saharan Africa,40.1,5970424,4188,26.3,63.053,16.7,14.6,45.6,44.9,19.7,67.5,8.94,0.003014861
Romania,Eastern Europe,56,19659267,14450.56744,45.7,74.117,39.2,56,65.4,51.3,45.2,62.6,3.09,0.009257721
Russia,Former Soviet States,37.5,144713314,12271.15785,49.1,70.116,48.8,55.5,39,29.1,50.6,69.6,6.96,0.02483531
